# ZFIN registered line designations (allele-symbol prefix -> lab of origin).
# Source: https://zfin.org/action/feature/line-designations (fetched 2026-09-01).
# Regenerate by re-running the parser in the PR that added this file against
# a fresh copy of that page. Columns: prefix<TAB>institution<TAB>labs
u	University College London	Bianco Lab , Efthymiou Lab , Jenkins Lab , MacDonald Lab , Mongera Lab , Payne Lab , Rihel Lab , Steve Wilson Lab , Tada Lab , William D. Richardson Lab , Young Lab
ua	University of Alberta	Allison Lab , Lehmann Lab , Pilgrim Lab , Waskiewicz Lab
uaa	University of Adelaide	Lardelli Lab
uab	University of Alabama Birmingham	Alexander Lab , Ankur Saxena Lab , Crowder Lab , Falany Lab , Parant Lab
ub	University of Bergen	Fjose Lab , Fladmark Lab
ubs	Biozentrum der Uni Basel	Affolter Lab , Salzburger Lab , Schier Lab
ubt	Universitat Bayreuth	Begemann Lab
ubx	University of Brescia, Italy	Neurodegeneration and Iron Metabolism Group , Presta Lab
uc	University of California - Davis	Draper Laboratory , Sean Burgess Lab
ucd	University College Dublin	Kennedy Lab
ucl	Universidad de Castilla-La Mancha	Escribano Martínez Lab , Physiology and Cell Dynamics
ucm	University of California Merced	Ni Lab , Woo Lab
ucs	University of California San Fransisco	Ahituv Lab
ud	DePaul University	LeClair Lab
udc	Universidad de Chile	Allende Lab
udm	Université de Montréal	Alex Parker Lab , Ghislain Lab , Kibar Lab , Pierre Drapeau Lab , Samarut Lab
ue	University of Edinburgh	Almeida Lab , Badrock Lab , Bhatia Lab , David Lyons Lab , E. Elizabeth Patton Lab , Hannah Long Lab , John Mullins Lab , Tim Czopka Lab
uex	University of Exeter	Kudoh Lab , Ryu Lab , Santos Lab , Scholpp Lab , Tyler Lab
uf	University Hospital Freiburg	Carsten Bergmann Lab , Elisabeth Ott Lab , Kramer-Zucker Lab
ufb	Fundacao Universidade Federal do Rio Grande, Brazil	Marins Lab
ug	University of Geneva	Bertrand Lab , Lydie Lane Lab , Marcos Gonzalez-Gaitán Laboratory , Neerman-Arbez Lab , Zebrafish Core Facility, Faculty of Medicine, University of Geneva
uh	University of Heidelberg	Centanin Lab , Jochen Wittbrodt Lab SFB 271 Junior Group , Kroll Lab , Meder Lab
uhd	University Hospital Heidelberg	Mechanisms of Cardiac Regeneration and Repair Lab
uhh	University of Hamburg	Fabrizius Lab
uhm	University of Heidelberg, Mannheim	Dobreva Lab
uhn	University Health Network, Toronto General Research Institute	J. Fish Lab
ui	University of Iowa	Cornell Lab , Kenny Lab , Lin Lab , Slusarski Lab
uic	University of Illinois	
uio	University of Oslo	Esguerra Lab , Simonsen Lab
uk	Universität zu Köln (University of Cologne)	Michel Lab , Molecular and Systems Neurobiology Group
uky	University of Kentucky	Famulski Lab , Galperin Lab , Morris Lab
ul	University of Lille	Angrand Lab
ula	University of Lausanne	Amati Lab , Larsch Lab
ulb	Universite Libre de Bruxelles	Costagliola Lab , Laboratory of Neurovascular Signaling , Pirson Lab , Sumeet Singh Lab , Wittamer Lab
ulg	University of Liege	Laboratory of Zebrafish Development and Disease Models , Martial Lab
