# ZFIN registered line designations (allele-symbol prefix -> lab of origin).
# Source: https://zfin.org/action/feature/line-designations (fetched 2026-09-01).
# Regenerate by re-running the parser in the PR that added this file against
# a fresh copy of that page. Columns: prefix<TAB>institution<TAB>labs
fci	Francis Crick Institute	Hill Lab , Jim Smith Lab , Pachnis Lab , Tooze lab/Molecular Cell Biology of Autophagy , Wilkinson Lab
fcu	Columbia University	Targoff Lab
fds	University of Ferrara	Bertolucci Lab
fdu	Fudan University	Dai Lab , Qiang Li Lab , Song Lab , Xui Xu Lab , Xu Wang Lab
fgi	Institut de Génomique Fonctionnelle	Ruggiero Lab
fh	Fred Hutchinson Cancer Research Center	Moens Lab
fi	Università di Firenze	Vanzi Lab
fl	Florida State University	Fadool Lab
fla	Florida Atlantic University	Fontenas Lab
fmi	Friedrich Miescher Institute for Biomedical Research	Friedrich Lab
fp	Fondazione Istituto di Ricerca Pediatrica	Aveic Lab
fr	Max Planck Institute of Immunobiology and Epigenetics, Freiburg	Boehm Lab , Hammerschmidt Lab , Trompouki Lab
fri	University of Fribourg	Jazwinska Lab
fu	Frankfurt University	Acker-Palmer lab , Gottschalk lab , Lecaudey Lab
g	Houston	Lekven Lab
ga	University of Georgia	Dougan Lab , Goll Lab , Lauderdale Lab
gd	Institute of Genetics and Developmental Biology	Jian Zhang Laboratory
ge	Georg-August University Goettingen	Dosch Lab , Huisken Lab
gf	Gifu University	Takashima Lab
ggc	Greenwood Genetic Center and Clemson University	Steet/Flanagan-Steet Lab
gi	Garvan Institute of Medical Research	Hesselson Lab , Transplantation Immunology
gib	Institute of Genomics and Integrative Biology	Pillai Lab , Sivasubbu Lab
gl	Walter and Eliza Hall Institute of Medical Research	Lieschke Laboratory
gmc	Georgia Health Sciences University	Kozlowski Lab
gmu	Guizhou Medical University	Zhi-Xu He Lab
gnu	Gyeongsang National University	Chong Pyo Choe Lab
gnv	University of Genova	Laboratory of Developmental Neurobiology
gsz	Universidad de Granada	Dario's Lab
gt	Georgia Institute of Technology	Chong Shin lab
gu	Georgetown University	Glasgow Lab
gue	University of Guelph	Van Raay Lab
gus	Gothenburg University Sweden	Neurochemical pathophysiology and diagnostics
gw	Washington University School of Medicine	Goldsmith Lab
gy	Institute of Neurobiology Alfred Fessard	Vernier Lab
gyf	Guangdong Medical University	Development and functional regulation of BBB , Laboratory of Neural System Development and Regeneration
gz	The National University of Singapore	Zhiyuan Gong Lab
ha	Hiroshima University	Aizawa Lab , Kikuchi Lab
hcp	Cal Poly Humboldt	Gahtan Lab
hd	Max Planck Institute for Medical Research	Ryu Lab Heidelberg
hdb	EMBL Heidelberg	Diz-Muñoz Group , Maria Leptin Lab
he	Henan University	Xiukun Cui Lab
hg	NHGRI/NIH	Burgess Lab , P. Paul Liu Lab , Puertollano Lab , Sood Lab
hh	University of Sheffield	
hi	MIT	Hopkins Lab
hj	Heilongjiang River Fisheries Research Institute	Kuang Lab
hjr	Hebrew University of Jeruselem	Fish Reproduction , Golan Lab
hkb	Hong Kong Baptist University	KL Yung Lab
hki	University of Helsinki	Panula Lab
hkk	Hokkaido University	Kotani Lab
hku	University of Hong Kong	Anskar Leung Lab
hkz	Hong Kong University of Science and Technology	Laboratory of Dr. Andrew L. Miller , Wen Lab
hm	Harvard Medical School	Megason Lab
hmr	Houston Methodist Research Institute (HMRI)	Longhou Fang Lab
hn	Hunan Normal University	Deng Lab , Laboratory of Animal Nutrition and Human Health , The Center for Heart Development, Hunan Normal University
hnu	Hanbat National University	Yeo Lab
hsc	The Hospital for Sick Children, Toronto	Ciruna Lab , Jim Dowling Lab , Pearson Lab , Saadet Andrews Lab , Scott Laboratory
hsi	Dalhousie Univeristy	Berman Lab , Quinn Lab
hu	Hubrecht Lab, Utrecht	Bakkers Lab , Catherine Robin Lab , Clevers Lab , Cuppen Lab , den Hertog Lab , Hubrecht Institute , Plasterk Lab
huh	Haukeland University Hospital	Renal Research Group
huj	Hebrew University of Jerusalem	Inbal Lab , The Elkouby Lab
hv	Haverford College	Jain Lab
hyo	University of Hyogo	Hatta Lab
hza	HuaZhong Agricultural University	Guangfu Hu Lab , Jie Mei Lab , Jing-Xia Liu Lab , Ze-Xia Gao Lab
hzm	Helmholtz Zentrum München	Lopez-Schier Lab
hzu	Huazhong University of Science and Technology	Haibo Jia Lab , Mugen Liu Lab , Xianqin Zhang Lab
i	ICRF	Ingham Sheffield Lab (Closed) , Ingham Singapore Lab
ia	Universita' di Padova	Argenton Lab , Dalla Valle Lab , Moro Lab , Sandona Lab , Tiso Lab
iaf	Institut national de la recherche scientifique (INRS)	Patten Lab
ib	CSIC-Institut de Biologia Molecular de Barcelona	Minguillon Lab
ibg	İBG-izmir Institute, Dokuz Eylül University Turkey	Cakan Lab
ibl	Leiden University	Bussmann Lab , Haramis Lab , Meijer Lab , Schaaf Lab , Spaink Lab
ibr	Instituto de Biología Molecular y Celular de Rosario (IBR-CONICET/Univ. Nac. Rosario)	Calcaterra Lab
ic	Institut Curie	Development of Mucosal Immunity and Tissue Integrity , Hernández Lab
icl	Imperial College London	Dallman Lab , Thomas Brand Lab
icm	L'Institut du Cerveau et de la Moelle épinère	PHENO-Zfish , Wyart Lab
idb	IDIBAPS Barcelona	Translational research group in new therapeutic and diagnostic strategies in liver diseases
idc	National Institute on Deafness and Other Communication Disorders	Kindt Lab
idv	Institut de la Vision	Del Bene Lab
idz	Indian Institute of Science	Developmental and Biomedical Genetics Laboratory
iem	Institute of Experimental Medicine Prague, Czechia	Ond&#345;ej Macho&#328; Laboratory
ig	Institut de génétique et de biologie moléculaire et cellulaire (IGBMC)	Vermot Lab
igb	CSIR-Institute of Genomics and Integrative Biology	Fate & Fault Lab
ihb	Inst of Hydrobiology	Aquatic Bioinformatics Lab , Cui Lab , Fish RNA Biology , Gui Lab , Hong Cao Lab , Mingxian Chang Lab , Qing Wang Lab , Wei Hu lab , Xiao Lab , Yi-bing Zhang Lab , Yonghua Sun Lab , Yuhua Sun Lab , Zhan Yin Lab , Zhen Xu Lab
ii	Imagine Institute	Laboratory of Embryology and genetics of human malformations , Saunier's lab
iim	Institute of Marine Research (IIM-CSIC)	Rotllant Lab
iis	i3s - Instituto de Investigação e Inovação em Saúde, Porto	Vertebrate Development and Regeneration Lab
ils	Institute of Life Sciences, Bhubaneswar	Developmental Biology and Human Disease Models
imb	Institute of Medical Biology, A-STAR	Human Embryology
img	University of Belgrade, Institute of Molecular Genetics and Genetic Engineering	Muscle Cellular and Molecular Biology, IMGGE
imm	Instituto de Medicina Molecular	Leonor Saude Lab
in	Instituto de Neurociencias, Alicante, Spain	Nieto Lab
inj	INRAE, Jouy en Josas	Langevin Lab
inr	Institut National de la Recherche Agronomique	Bobe Lab , Institut National de la Recherche Agronomique, Laboratoire de Physiologie et Génomique des Poissons
io	IFOM	Zebrafish Unit - Cogentech Srl
ioh	Institute of Hematology & Blood Diseases Hospital, Chinese Academy of Medical Sciences	Lu Wang Lab
ion	Chinese Academy of Sciences, Institute of Neuroscience	Jie He Lab , Jiu-Lin Du Lab , Mu Lab , Zebrafish Brain Atlas Research Group
ioz	State Key Laboratory of Biomembrane and Membrane Biotechnology Institute of Zoology Chinese Academy of Sciences	Liu Lab
ip	Institut Pasteur	Bally-Cuif Lab , Herbomel Lab
ipk	Department of Pharmacology, University of Cologne	Gründemann Lab
ipm	Institut Pasteur de Montevideo	Cell Biology of Neural Development , Molecular and Human Genetics Lab
ir	University of California Irvine	Eom Lab , Parsons Lab , Schilling Lab
irc	IRCCS Fondazione Stella Maris, Italy	Santorelli Lab
iro	Institute for Research in Ophthalmology	Institut de Recherche en Ophtalmologie (IRO) (Closed)
is	Iowa State University	Campbell Lab , Espin Lab , Essner Lab , McGrail Lab
isc	Institut de Neurobiologie Alfred Fessard	Peyriéras Lab
it	University of Tsukuba	Kobayashi Lab
itm	University of Milan	Vaccari Lab
itz	Royan Institute for Stem Cell Biology and Technology, Tehran	Royan Zebrafish Core Facility
iu	Indiana University School of Medicine	Marrs Lab
ivb	InVivo Biosystems	InVivo Biosytems
j	Washington University	Stephen L. Johnson Lab , Ting Wang Lab
ja	University of Tokyo, Graduate School of Science	Fukada Lab (Closed) , Group of Animal Morphogenesis During Development , Kikkawa lab , Kojima Lab
jf	HHMI Janelia Farm Research Campus	Ahrens Lab , Schreiter Lab
jg	University Medical Center, Johannes Gutenberg University Mainz	
jh	Johns Hopkins University	Jimenez Lab , McCallion Lab , Mumm Lab
ji	Jichi Medical University	Nakajo Lab, Division of Integrative Physiology
jj	Massachusetts Eye and Ear Infirmary	
jk	University of Tokyo, School of Biological Science	
js	Tohoku University	Gembu Abe Lab , Ogura Lab , Shoji Lab , Suzuki Lab
jt	University of Tokyo, School of Medicine	Fujiwara Lab , Mishina Lab , Mizushima Lab
jz	Laboratory of Organ Morphogenesis	Laboratory of Organ Morphogenesis
k	Northwestern University	McLean Lab , Takahashi Lab
ka	Karlsruhe Institute for Technology (KIT)	Bastmeyer Lab , Blattner Lab , Dickmeis Lab , Foulkes Lab , Grabher Lab , Le Noble Lab , Rastegar Lab , Strähle Lab (Closed)
kan	Kangwon National University	Yun Kee Lab
kb	Kobe University	Inoue Lab
kbc	Hospital Kremlin Biocetre	Tawk Lab
kc	Pennsylvania State University	Cheng Lab
kca	University of Koln	Reugels / Campos-Ortega Lab
kco	Kenyon College, Ohio	Petersen Lab
kd	Duke University Medical Center	Bagnat Lab , Di Talia Lab , Munjal Lab , Naumann Lab , Tobin Lab
kg	Kings College London	Brand-Saberi Lab , Hindges Lab , Hinits Lab , Houart Lab , Jon Clarke Lab , Linker Lab , Meyer Lab , Rodaway Lab , Simon M. Hughes Lab
kgs	Kagoshima University	Shiozaki Lab
kh	Kyung Hee University	Molecular Genetics Laboratory
ki	Karolinska Institute	Adameyko Lab , Andersson Lab , Andersson-Lendahl Lab , Helleday Lab , Tryggvason Lab , Zebrafish core facility Karolinska Institutet
kj	University of Tokyo	Kawamura Lab , Watabe Lab
km	Korea University Medical Center (Ansan Hospital)	Disease modeling Lab , Hae-Chul Park Lab
kn	University of Konstanz	Axel Meyer Lab , Bahl Lab , Stürmer Lab
knu	Kyungpook National University	Huh Lab
ko	Kyoto University	Maegawa Lab , Sehara-Fujisawa Lab , Shukunami Lab
krb	Korea Research Institute of Bioscience and Biotechnology	Jeong-Soo Lee lab
ks	Kansas State University	Thorpe Lab
kst	Stowers Institute for Medical Research	Krumlauf Lab
ksu	Kyoto Sangyo University	Laboratory of RNA regulation
kt	Japan Science and Technology Corporation	Kondoh ERATO Lab
kts	Kitasato University	Wada Lab
ku	University of Kansas Medical Center	Cellular and Developmental Neuroscience , Godwin Lab , Kinsey Lab , Long Zheng Lab
kum	Kumamoto University	Sugimoto Lab
kut	Kochi University of Technology	Kamachi Lab
kw	Western Michigan University	Kane Lab
ky	National Institute of Environmental Studies	Section of Experimental Pathology and Toxicology
kyu	Kyushu University	
kz	Kanazawa University	Araiso Laboratory , Isao Kobayashi Lab
l	University of Notre Dame	Lei Li Lab
la	University of California Los Angeles	Bronstein Lab , Burgess & Lin Lab , Jau-Nian Chen Lab , Koehler Lab , Papazian Lab , Sagasti lab UCLA , Shuo Lin Lab , Thao Nguyen Lab
laf	Lafayette College	Ezra Lencer Lab
lc	Lewis and Clark College	Weissman Lab
lcr	Ludwig Institute for Cancer Research, Oxford University	De Val Lab
ld	Duke University	Linney Lab
lh	Lehigh University	Iovine Lab
li	Fritz Lipmann Institute (FLI)	Englert Lab
lkc	Lee Kong Chian School of Medicine	Carney Lab , Dunn Lab , Jesuthasan Lab
lmb	MRC-Laboratory of Molecular Biology (LMB)	
lmc	Luminomics	Luminomics Inc
lou	University of Louisville	Lovely Lab
lp	Laboratoire de Physique de L Ecole Normale Superieure (LPENS)	Bensimon Lab
lri	Cleveland Clinic	Anand-Apte Lab , Brian Perkins Lab , Corey Lab , Matsuoka Lab , Sakaguchi Lab
ls	London School of Hygiene & Tropical Medicine	Mostowy Lab
ltu	La Trobe University	Dworkin Lab
lu	Loyola University Chicago	Pickett Lab
lux	University of Luxembourg	Linster Lab
lv	KU Leuven	Darras Lab , de Witte Lab , Porto Lab
lvp	L V Prasad Eye Institute (LVPEI)	Indumathi Mariappan Lab
ly	University of Lyon	Owen Randlett Lab
m	University of Freiburg	Driever Lab , Onichtchouk Lab
ma	Tokyo University of Marine Science and Technology	Aoki Lab , Yoshizaki Lab
mai	University of Maine	Carol H. Kim Lab , Henry Lab , Jared Talbot Lab
mb	Center of Marine Biotechnology, University of Maryland	Du Lab , Shengyun Fang Lab , Zohar Lab
mbc	University of Maryland Baltimore County	Brewster Lab
mbg	Marine Biological Laboratory	Gitlin Lab
mcp	University of Maryland, College Park	Angueyra Lab
md	Max Delbruck Center for Molecular Medicine	Gerhardt Lab , Panáková Lab , Sawamiphak Lab
mde	Ludwig-Maximilians University Munich	Maier-Begandt Lab , Schmid Lab
mdi	Mount Desert Island Biological Laboratory	Coffman Lab , Madelaine Lab , Rieger Lab , Voot Yin Lab
mdu	School of Medicine, Deakin University	Ward Lab
mg	McGill University	Armstrong Lab
mh	Harvard Medical School	Matthew Harris Lab
mhh	Medizinische Hochschule Hannover	Abdelilah-Seyfried Lab Hannover
mhn	Museum National d’Histoire Naturelle	Tostivint and Pézeron Lab
mi	University of Michigan	Cunming Duan Lab , Goldman Lab , Hitchcock Lab , Kuwada Lab , Lyons Lab , Parent Lab , Raymond Lab , Shavit Lab , Tzumin Lee Lab , Yunlu Zhu Lab
mie	Mie University	Nishimura Lab
mil	UWM Great Lakes WATER Institute	Udvadia Lab
mit	Massachusetts Institute of Technology (MIT)	Boyden Lab , Lees Lab
mk	Memorial Sloan Kettering Cancer Center	Niethammer Lab , White Lab
mkc	University of Missouri-Kansas City	McGraw Lab
mke	University of Wisconsin-Milwaukee	Gutzman Lab
ml	University of Innsbruck	Dirk Meyer Lab
mmc	Mackay Medical College	Tsai Laboratory
mmr	Institut de Génomique Fonctionnelle	Molecular Mechanisms of Regeneration
mn	Mayo Clinic	Burghardt Lab , Jane Zhu Lab , Mukhopadhyay Lab , Schimmenti Lab
mnu	Monash University	Bird Lab , Bryson-Richardson Lab , Kaslin Lab , Ramialison Lab , Renee Chow Lab
mo	Monash University	
mpb	Max Planck Institute for Brain Research, Frankfurt	Schuman Lab
mpn	Max Planck Institute of Neurobiology	Baier Lab
mps	Max Planck Instiute for the Science of Light	Wehner Lab
mq	Macquaire University	Laird Lab , Morsch Lab , Nicholas Cole Lab , Roger Chung Lab
mr	University Marburg	Helker Lab
mss	Mount Sinai School of Medicine	Chu Lab , Marlow Lab , Zebrafish Lab for Translational Medicine
msu	Michigan State University	Braasch Lab , Ganz Lab
mu	Munster University	Herzog Lab , Raz Lab , Schulte-Merker
mun	Masaryk University	Fabian Lab
muo	Miami University Oxford, Ohio	Schumacher Lab
muu	Musashino University	Ohata Lab
muz	Medical University of South Carolina	Jiaxing Li Lab , Lobo Lab , Seok-Hyung Kim Lab , Sherine Chan Lab , Tew Lab
mw	Medical College of Wisconsin	Besharse Lab , Link Lab , Mayer Lab , Miesfeld Lab , Ramchandran Lab , Semina Lab , Veldman Lab
myz	University of Miyazaki	Kenmochi Lab
mz	Institute of Molecular Biology gGmbH (IMB), Mainz	Ketting Lab
n	University of Newcastle upon Tyne	Bassett Lab , Chaudhry Lab , Jowett Lab
nau	Northern Arizona University	Salanga Lab
nc	University of North Carolina at Chapel Hill	Bautch Lab , Cho Lab , Ellen R. Weiss Lab , Jiandong Liu Lab , Jin Lab , Shiau Lab
ncb	National Centre for Biological Sciences	Neural Circuits and Development lab
ncc	North Carolina Central University	Chatterjee Lab , XL Chen Lab
nce	Université Côte d’Azur	Fürthauer Lab , Telomere and Genome Stability Laboratory
nch	Nationwide Children’s Hospital.	Genevieve Kendall Lab
nci	National Cancer Institute	Hickstein Lab , Sheue-yann Cheng Lab
ncu	North Carolina State University	Marsden Lab , Yoder Lab
ncv	National Cerebral and Cardiovascular Center Research Institute	Mochizuki Lab
ncz	Nanchang University	Key Laboratory of Aquatic Resources and Utilization of Jiangxi
nds	NIH/NINDS	Hejtmancik Lab , Ralph Nelson Lab
ne	Zebrafish Neurogenetics Group	
nei	Nestlé Institute of Health Sciences	Chemical Biology Nestlé Institute of Health Sciences
nf	Nanfang Hospital	Xinping Yang Lab
nfl	University of Newfoundland	Curtis French lab
nhi	Netherlands Institute for Neuroscience	Kamermans Lab
ni	Nara Institute of Science and Technology	Gene Regulation Research Lab , Inagaki Lab
nia	National Institute of Alcohol Abuse and Alcoholism	
nig	National Institute of Genetics (NIG), Japan	
nii	Niigata University	Matsui Lab
nim	National Institute for Medical Research	Elgar Lab - Fugu Comparative Genomics Group
nj	Rutgers University	Copeland Lab , Kelvin Y. Kwan Lab , Manzini lab , Nakamura Lab , O'Brown Lab , Sabaawy Lab
nja	Nanjing Agricultural University	Dingdong Zhang Lab
njm	Children's Hospital of Nanjing Medical University	Nanjing Key Laboratory of Pediatrics
nju	Nanjing University	Xin Lou Lab , Zhao Lab
nk	National Institute of Genetics, Japan	K. Kawakami Lab , Neurobiology and Pathology Lab
nkf	National Kaohsiung University	Chieh-Yu Pan Lab
nku	Nankai University	Yuhao Li Lab
nl	OHSU School of Medicine	Nechiporuk Lab
nm	Washington University School of Medicine	Nonet Lab
nn	National Tsing Hua University & National Health Research Institutes, Taiwan	Jiang Lab , YJ Chuang Lab , Yuh Lab
nni	National Eye Institute, NIH	Brooks Lab , Ophthalmic Genomics Laboratory
nns	Okazaki Institute for Integrative Bioscience	Higashijima Lab , Takada Lab
nnu	Northwest Normal University, Lanzhou, China	Jianzhen Li Lab
np	Nippon Medical School	Fukuhara Lab
ns	National University of Singapore	Mathuru Lab , Shifeng Xue Lab , Takaomi Sanda Lab , Winkler Lab , Wohland Lab , Zebrafish Radiobiology Lab
nt	University of Notre Dame	Cody Smith Lab , University of Notre Dame Center for Zebrafish Research , Wingert Lab
ntu	Nantong University	Hui Xu Lab , Liu Dong Lab , Zhangji Dong Lab , Zhang Lab
nu	Northwestern University School of Medicine/CMIER	Ahlgren Lab , Erica Davis Lab , Topczewski Lab
nub	Nagoya University	Hibi Lab
nuz	Northeastern University	Detrich Lab
nv	Novartis Institutes for Biomedical Research	Peixin Zhu Lab , Schebesta Lab
nw	Norwegian University of Science and Technology	Yaksi Lab
nwc	Northwest University (China)	Jing Tian Lab
nya	New York University Abu Dhabi	Sadler Lab
nyc	NYU Neuroscience Institute	Schoppik Lab
nyu	New York University	Brian Dynlacht Lab
nz	The University of Auckland School of Medical Sciences	Astin Lab , Christopher Hall Lab , Chromosome Structure and Development Group , Crosier Lab , Davidson Lab
o	University of Warmia and Mazury in Olsztyn, Poland	Laboratory of Genomics and Transcriptomics
obu	National Institute for Geriatrics and Gerontology	Functional Genomics Unit
ohz	Ohio State University Medical Center	Ye Lab
oi	Oita University	Reiko Hanada Lab , Toshikatsu Hanada Lab
oki	Okinawa Institute of Science and Technology (OIST)	Masai Lab
omc	Osaka Medical and Pharmaceutical University	Department of Physiology, Osaka Medical and Pharmaceutical University
omf	Oklahoma Medical Research Foundation	Sansam Lab , Varshney Lab
omi	The University of Mississippi Medical Center	Michael Hebert Lab
omx	University of Mississippi in Oxford	Bloomekatz Lab
os	Ohio State University	Aaron Goldman Lab , Beattie Lab , Henion Lab , Jontes Lab
osu	Oregon State University	Tanguay Lab
ot	University of Ottawa	Akimenko Lab , Kathleen M Gilmour Lab , Marc Ekker Lab , Steve F. Perry Lab
ou	Osaka University	Ishitani Lab , Kondo Lab , Okamura Lab
ouc	Ocean University of China	Chengtian Zhao Lab , Gen He Lab , Hongyan Li Lab , Laboratory for Development &amp; Regeneration , Laboratory of Molecular Medicine , Ling Lu Lab , Zhenhui Lab
ovi	Oregon Vollum Institute	
ox	University of Oxford	Mommersteeg lab , Patient Lab , Sauka-Spengler Lab
oz	Ohio State University	Amacher Lab
p	University of Pennsylvania	Balice-Gordon Lab , Eric Liao Lab , Fisher Lab , Matthews Lab , Michael Granato Lab , Mullins Laboratory , Pack Lab , Raj Lab , Raper Lab , Siekmann Lab , Weinberg Lab
pbb	Universität Potsdam	Abdelilah-Seyfried Lab Potsdam
pc	Australian Regenerative Medicine Institute (ARMI)	Peter Currie Lab
pd	Duke University Medical Center	
pfu	Universitat Pompeu Fabra-PRBB	Alsina Lab , Pujades Lab
pgt	Pentagrit Discovery	Pentagrit Discovery
phk	The Hong Kong Polytechnic University	Alvin Ma Lab
pkm	Peking Union Medical College	Xiaowei Chen&#39;s Lab , Ying Han Lab
pku	Peking University	Jing-Wei Xiong Lab , Liangyi Chen Lab , PKU Zebrafish Functional Genomics Group
pm	Morgridge Institute for Research	Poss Lab
pmc	Universite Pierre et Marie Curie	Vertebrate Brain Patterning
pr	Princeton University	Burdine Lab
psi	Stowers Institute for Medical Research	Piotrowski Lab , Rohner Lab
psu	Pennsylvania State University	Rolls Lab
pt	University of Pittsburgh	Bahary Lab , Beth Roman Lab , Burton Lab , Gross Lab , Hukriede Lab , Shin Lab , Tsang Lab , Wei Lab
pu	Purdue University	Collodi Lab , GuangJun Zhang Lab , Qing Deng Lab , Suter Lab
q	University of Washington	Wong Lab
qdu	Qingdao University	Cardiac and Aging-related Genetic Disorders
qm	Queen Mary College, University of London	Brennan Lab
qmc	University of Nottingham	Gering Lab
r	Institut National de la Santé et de la Recherche Médicale	Groupe Danio
rc	Zebrafish International Resource Center	Zebrafish International Resource Center (ZIRC)
rco	Reed College, Oregon	Cerveny Visual System Development Lab
rdb	Radboud University	Department of Organismal Animal Physiology
rdd	Dr. Reddy’s Institute of Life Sciences	Aarti Sevilimedu Lab , Chatti Lab
rdu	Duke University Medical Center, Dept. of Molecular Genetics & Microbiology	Center for Human Disease Modeling , Rawls Lab
re	Erasmus MC	Barakat Lab , Emma de Pater Lab , French Lab , Iglesias Lab , Maria Alves Lab , van Ham Lab
rg	Regeneron Pharmaceuticals	Regeneron Pharmaceuticals
rj	Chinese Academy of Sciences & Shanghai Jiao Tong University School of Medicine	Huaidong Song Lab , Jun Zhu Lab , Ting Xi Liu Lab , Xiao-Jian Sun Lab , Zhou Lab
rji	Chinese Academy of Sciences & Shanghai Jiao Tong University School of Medicine (Renji Hospital)	Fangyuan Chen Lab
rk	RIKEN - Kobe	Laboratory for Vascular Morphogenesis , Vertebrate Body Plan Group
rm	Ruppin Academic Center School of Marine Sciences	Daya Lab
rmc	Radboud University Medical Centre Nijmegen, Netherlands	de Voer Lab , Functional genomics and therapeutics / ENT , Internal Medicinte, section Endocrinology , Molecular Therapies for Inherited Eye Disorders
rr	National Rehabilitation Center for Persons with Disabilities	Seko Lab
rts	Ritsumeikan University	Matsuda Lab
